Trader,Market Share,Profit
ZIC,80.0,335.364
ZIC,83.33333333333333,338.89
ZIC,100.0,159.647
ZIP,6.25,77.19
ZIP,6.666666666666667,357.759
ZIP,7.142857142857143,830.8379999999999
ZIP,7.6923076923076925,1367.497
ZIP,8.333333333333334,2169.517
ZIP,9.090909090909092,3051.4079999999994
ZIP,10.0,2342.7169999999996
ZIP,11.11111111111111,3592.9320000000002
ZIP,11.764705882352942,150.57000000000002
ZIP,12.5,3972.4829999999993
ZIP,13.333333333333334,555.161
ZIP,14.285714285714286,3838.788
ZIP,15.384615384615385,2219.771
ZIP,16.666666666666668,5852.044
ZIP,17.647058823529413,283.522
ZIP,18.181818181818183,2811.466
ZIP,18.75,696.833
ZIP,20.0,5850.822000000002
ZIP,21.05263157894737,148.91
